date;prod_id;prod_name;prod_name_long;prod_brand;category;subcategory;tags; Name ;Category;prod_icon; prod_source ;source_type;;
20190609;7,71E+12;Aromatizante Glade actes pop fruta liquido repuesto ;Aromatizante Glade actes pop fruta liquido repuesto x 3und x 21ml cada uno edición limitada;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade actes pop fruta liquido repuesto x 3und x 21ml cada uno edicion limitada ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,71E+12;Aromatizante Glade actes pop fruta liquido repuesto ;Aromatizante Glade actes pop fruta liquido repuesto x 21ml + aparato edición limitada;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade actes pop fruta liquido repuesto x 21ml + aparato edicion limitada ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade aerosol ;Aromatizante Glade aerosol x 2 und x 400 ml c-u;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade aerosol x 2 und x 400 ml c-u ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade alegría floral frutos rojos gel ;Aromatizante Glade alegría floral frutos rojos gel x 70g;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade alegria floral frutos rojos gel x 70g ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade alegría floral gel repuesto ;Aromatizante Glade alegría floral gel repuesto x 2 und x 8 g c-u;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade alegria floral gel repuesto x 2 und x 8 g c-u ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante glade auto sport cool air ;Aromatizante glade auto sport cool air x 7ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante glade auto sport cool air x 7ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade Automático alegría floral ;Aromatizante Glade Automático alegría floral x 270 ml + repuesto;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade Automatico alegria floral x 270 ml + repuesto ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Glade automático alegría floral fruta repuesto ;Aromatizante Glade automático alegría floral fruta repuesto x 270ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade automatico alegria floral fruta repuesto x 270ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade automático vainilla repuesto ;Aromatizante Glade automático vainilla repuesto x 270ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade automatico vainilla repuesto x 270ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;46500716935;Aromatizante Glade cono brisa Hawaiana gel ;Aromatizante Glade cono brisa Hawaiana gel x 170g;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade cono brisa Hawaiana gel x 170g ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade electric car aparato + repuesto ;Aromatizante Glade electric car aparato + repuesto x 3.2 ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade electric car aparato + repuesto x 3.2 ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizanté Glade elegant car aparato + repuesto ;Aromatizanté Glade elegant car aparato + repuesto x 3.2ml;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade elegant car aparato + repuesto x 3.2ml ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade lavanda gel ;Aromatizante Glade lavanda gel x 70 g;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade lavanda gel x 70 g ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Glade manzana canela gel ;Aromatizante Glade manzana canela gel x 170g;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade manzana canela gel x 170g ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Glade pop frutal aerosol ;Aromatizante Glade pop frutal aerosol x 400ml edición limitada;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade pop frutal aerosol x 400ml edicion limitada ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,50E+12;Aromatizante Glade ritmos ámbar aerosol ;Aromatizante Glade ritmos ámbar aerosol x 400ml edición limitada;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade ritmos ambar aerosol x 400ml edicion limitada ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade vainilla gel repuesto ;Aromatizante Glade vainilla gel repuesto x 2 und x 8 g c-u;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade vainilla gel repuesto x 2 und x 8 g c-u ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
20190609;7,59E+12;Aromatizante Glade velas alegría floral frutos rojos ;Aromatizante Glade velas alegría floral frutos rojos x 96g;GLADE;Supermercado;Aseo de hogar;Ambientadores; Aromatizante Glade velas alegria floral frutos rojos x 96g ;Aseo de hogar;../icons/SVG/58-beauty-spas/spa-vapor.svg; VERDE ;1;;
